title,company,location,summary,publish_date
Data Scientist - Entry Level,Numerdox,"Sacramento, CA","You will be performing thorough testing and validation of models, and support various aspects of the business with data analytics.",28 days ago
"Data Scientist, Analytics, Intern",Facebook,Remote,"Perform large-scale data analysis to extract useful business insights.
Work closely with a Product Manager and Engineering team to proactively create rule and…",22 days ago
Data Scientist - Analytics,Acorn Analytics,Remote,"Acorn provides valuable and actionable insights into organizations' raw data.
Comfortable in python, proficient with pandas, matplotlib, performing exploratory…",30+ days ago
Data Scientist Apprentice,IBM,United States,"You will apply the scientific method to business scenarios, clean and prepare data for statistical and machine learning modeling, work with a variety of…",1 day ago
Data Scientist - Quality Systems Energy,Tesla,"Sparks, NV 89434","Strong verbal and written communication skills to manage and communicate the health and integrity of the data and systems.
3 - 5 years relevant experience.",Today
Data Scientist,Verusen,"Atlanta, GA 30308 (Midtown area)","As a Data scientist in any position at Verusen, you will be supported by several highly skilled data scientists, including those specializing in NLP.",Just posted
Data Scientist,Cresta,Remote,"As a data scientist, you will work at the intersection of product, engineering, sales, and customer success to analyze conversational and statistical data all…",6 days ago
Data Scientist,kraken,Remote,"5+ years industry experience in data science or analytics.
Work with engineers to evangelize data best practices and implement analytics solutions.",30+ days ago
Data Scientist,Milwaukee Tool,"Brookfield, WI 53005","Robust health, dental and vision insurance plans.
Knowledge of modern enterprise data architectures, design patterns, and data toolsets.",Today
DATA SCIENTIST,Bangura Solutions,Remote,"Experience working with sensitive or personally identifiable data and handling associated governance issues.
Analytical or Research experience from any relevant…",8 days ago
Data Scientist,Amazon.com Services LLC,"New York, NY","Lead and mentor junior data scientists, with an opportunity to grow into a team leader.
Work with scientists and economists to model complex interactions in our…",Just posted
Data Scientist Intern,Clara Foods,Remote,"You are excited to work with others in applying machine learning, statistics, data visualization, and software engineering to solve complex problems in biology,…",3 days ago
Sr. Data Scientist,Innovar Group,Remote,Job Type: Business Intelligence/Data Warehouse.,6 days ago
Data Scientist,Howmet Aerospace,"Whitehall, MI",A minimum of 3 years experience manipulating and applying advanced data and statistical analysis methods to manufacturing data.,3 days ago
Data Scientist,Imperfect Foods,Remote,"Build production grade models on large-scale datasets by utilizing sophisticated statistical modeling, machine learning, or data mining techniques.",30+ days ago
